"run","disturbance","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
81,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.8,-1289403823,2.0,1.0,0.03,0.05,0.05,100.0
83,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.82,-1289399842,2.0,1.0,0.03,0.05,0.05,100.0
85,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.84,-1289395927,2.0,1.0,0.03,0.05,0.05,100.0
87,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.86,-1289392053,2.0,1.0,0.03,0.05,0.05,100.0
89,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.88,-1289387958,2.0,1.0,0.03,0.05,0.05,100.0
91,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9,-1289384190,2.0,1.0,0.03,0.05,0.05,100.0
93,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.92,-1289380199,2.0,1.0,0.03,0.05,0.05,100.0
95,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.94,-1289376338,2.0,1.0,0.03,0.05,0.05,100.0
97,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.96,-1289372451,2.0,1.0,0.03,0.05,0.05,100.0
99,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.98,-1289368724,2.0,1.0,0.03,0.05,0.05,100.0
