"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
665,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.0,0.05,2.0,-154289628,0.2,0.4,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
672,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.0,0.05,2.0,-154274305,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
679,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.0,0.05,2.0,-154258826,0.2,1.0,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
686,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.2,0.05,2.0,-154243228,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
693,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.2,0.05,2.0,-154236290,0.2,0.2,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
700,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.2,0.05,2.0,-154226153,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
707,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.2,0.05,2.0,-154210395,0.2,0.6,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
714,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.2,0.05,2.0,-154197003,0.2,0.8,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
721,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.4,0.05,2.0,-154180677,0.2,0.0,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
728,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.4,0.05,2.0,-154175889,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
