"run","foodBloatsWeight","foodMin","weightRegen","foodGrowth","foodUnsustainability","weightMaxFactor","weightResil","infert","weightBloatRate","push","foodRegen","weightImproveRate","foodDecay","randomSeed","weightMinFactor","droughtMod","foodMax","weightDrought","foodResil","fort","foodDrought","deathFraction"
468,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.1,267309066,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
474,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.1,267311505,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
480,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.1,267314029,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
486,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.1,267316633,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
492,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.0,267319489,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
498,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.0,267321984,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
504,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.0,267324677,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
510,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.0,267327304,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
516,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.05,267329800,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
522,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.05,267332304,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
528,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.05,267335432,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
534,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.05,267337765,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
540,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.05,267340281,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
546,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.1,267342738,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
552,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.1,267344871,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
558,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.1,267347452,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
564,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.1,267350046,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
570,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,267352180,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
576,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,267354552,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
582,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,267357488,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
588,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,267359623,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
594,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,267362091,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
600,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.05,267365181,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
606,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.05,267367622,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
612,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.05,267369831,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
618,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.05,267373095,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
624,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,267376144,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
630,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,267378881,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
636,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,267381630,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
642,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,267384044,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
